bedrooms,bathrooms,toilets,parking spaces,type,town,state,price
4,4,5,,semi-detached duplex,Lekki,Lagos,90000000
4,4,5,,detached duplex,Lekki,Lagos,110000000
4,4,5,,detached duplex,Lekki,Lagos,80000000
3,3,4,,terraced duplex,Lekki,Lagos,53000000
4,4,5,,semi-detached duplex,Lekki,Lagos,65000000
3,3,4,,terraced duplex,Lekki,Lagos,65000000
4,4,5,,detached duplex,Ogudu,Lagos,100000000
4,4,5,2,terraced duplex,Ogudu,Lagos,150000000
5,4,5,5,detached duplex,Ikeja,Lagos,85000000
4,4,5,3,terraced duplex,Galadimawa,Abuja,45000000
4,5,6,5,detached duplex,Gudu,Abuja,120000000
3,,4,3,terraced duplex,Gwarinpa,Abuja,45000000
4,4,5,6,semi-detached duplex,Lekki,Lagos,190000000
2,2,3,2,block of flats,Ajah,Lagos,70000000
3,3,4,,detached bungalow,Magodo,Lagos,40000000
4,4,4,,detached bungalow,Owerri Municipal,Imo,25000000
5,5,6,,detached duplex,Magodo,Lagos,25000000
5,4,4,6,detached duplex,Ajah,Lagos,55000000
4,4,5,4,house,Lekki,Lagos,44000000
4,5,5,3,semi-detached duplex,Lekki,Lagos,85000000
5,,6,,detached duplex,Gudu,Abuja,500000000
5,6,6,,detached duplex,Katampe,Abuja,380000000
4,4,5,2,house,Ikeja,Lagos,125000000
2,3,3,3,terraced duplex,Ajah,Lagos,47000000
5,5,6,7,detached duplex,Lekki,Lagos,400000000
5,5,5,5,detached duplex,Lekki,Lagos,420000000
4,4,4,,terraced duplex,Lekki,Lagos,60000000
3,3,3,,detached bungalow,Ajah,Lagos,30000000
5,5,5,,semi-detached duplex,Lekki,Lagos,345000000
8,11,12,12,detached duplex,Ikoyi,Lagos,900000000
3,3,4,2,semi-detached duplex,Ajah,Lagos,42000000
2,,,,terraced bungalow,Lekki,Lagos,28000000
6,7,7,,block of flats,Sango Ota,Ogun,9000000
4,4,5,2,terraced duplex,Lekki,Lagos,170000000
4,4,5,,terraced duplex,Lekki,Lagos,55000000
5,,6,3,detached duplex,Lekki,Lagos,125000000
4,,,,terraced duplex,Lekki,Lagos,60000000
3,3,4,,house,Lekki,Lagos,650000000
4,5,5,5,detached duplex,Kuje,Abuja,19000000
5,,,,detached duplex,Katampe,Abuja,16000000000
3,3,4,3,semi-detached duplex,Lekki,Lagos,42000000
3,4,5,3,terraced duplex,Ajah,Lagos,51000000
2,3,4,3,house,Lekki,Lagos,35000000
5,5,6,4,detached duplex,Lekki,Lagos,140000000
