Name,Capital,Population
Niger,Niamey,15878271
Norfolk Island,Kingston,1828
Nigeria,Abuja,154000000
Nicaragua,Managua,5995928
Netherlands,Amsterdam,16645000
Norway,Oslo,5009150
Nepal,Kathmandu,28951852
Nauru,Yaren,10065
Niue,Alofi,2166
New Zealand,Wellington,4252277
Oman,Muscat,2967717
Panama,Panama City,3410676
Peru,Lima,29907003
French Polynesia,Papeete,270485
Papua New Guinea,Port Moresby,6064515
Philippines,Manila,99900177
Pakistan,Islamabad,184404791
Poland,Warsaw,38500000
Saint Pierre and Miquelon,Saint-Pierre,7012
Pitcairn Islands,Adamstown,46
Puerto Rico,San Juan,3916632
Palestine,None,3800000
Portugal,Lisbon,10676000
Palau,Melekeok,19907
Paraguay,Asunción,6375830
Qatar,Doha,840926
Réunion,Saint-Denis,776948
Romania,Bucharest,21959278
Serbia,Belgrade,7344847
Russia,Moscow,140702000
Rwanda,Kigali,11055976
Saudi Arabia,Riyadh,25731776
Solomon Islands,Honiara,559198
Seychelles,Victoria,88340
Sudan,Khartoum,35000000
Sweden,Stockholm,9828655
Singapore,Singapore,4701069
Saint Helena,Jamestown,7460
Slovenia,Ljubljana,2007000
Svalbard and Jan Mayen,Longyearbyen,2550
Slovakia,Bratislava,5455000
Sierra Leone,Freetown,5245695
San Marino,San Marino,31477
Senegal,Dakar,12323252
Somalia,Mogadishu,10112453
Suriname,Paramaribo,492829
South Sudan,Juba,8260490
São Tomé and Príncipe,São Tomé,175808
El Salvador,San Salvador,6052064
Sint Maarten,Philipsburg,37429
Syria,Damascus,22198110
Swaziland,Mbabane,1354051
Turks and Caicos Islands,Cockburn Town,20556
Chad,N'Djamena,10543464
French Southern Territories,Port-aux-Français,140
Togo,Lomé,6587239
Thailand,Bangkok,67089500
Tajikistan,Dushanbe,7487489
Tokelau,None,1466
East Timor,Dili,1154625
Turkmenistan,Ashgabat,4940916
Tunisia,Tunis,10589025
Tonga,Nuku'alofa,122580
Turkey,Ankara,77804122
Trinidad and Tobago,Port of Spain,1228691
Tuvalu,Funafuti,10472
Taiwan,Taipei,22894384
Tanzania,Dodoma,41892895
Ukraine,Kiev,45415596
Uganda,Kampala,33398682
U.S. Minor Outlying Islands,None,0
United States,Washington,310232863
Uruguay,Montevideo,3477000
Uzbekistan,Tashkent,27865738
Vatican City,Vatican City,921
Saint Vincent and the Grenadines,Kingstown,104217
Venezuela,Caracas,27223228
British Virgin Islands,Road Town,21730
U.S. Virgin Islands,Charlotte Amalie,108708
Vietnam,Hanoi,89571130
Vanuatu,Port Vila,221552
Wallis and Futuna,Mata-Utu,16025
Samoa,Apia,192001
Kosovo,Pristina,1800000
Yemen,Sanaa,23495361
Mayotte,Mamoudzou,159042
South Africa,Pretoria,49000000
Zambia,Lusaka,13460305
Zimbabwe,Harare,11651858
